elbow_0
Module: E0:5A:1B:76:00:58 (06)
t(us),ax,ay,az,gx,gy,gz,y,p,r
3937817,23118,19632,-4030,-113,32,4,-0.969005,2.267483,1.712806
3953444,23048,19490,-4068,-89,66,0,-0.968281,2.267646,1.711900
3969071,22896,19644,-3498,63,106,5,-0.967197,2.267861,1.710617
3984697,22638,19968,-3346,175,85,36,-0.967191,2.267909,1.710874
4000323,22630,19974,-3508,111,25,54,-0.968358,2.267668,1.713431
4015950,22904,19864,-4048,-10,-16,31,-0.969270,2.267648,1.714769
4031576,23206,19692,-4150,-144,-4,-27,-0.969946,2.268080,1.716107
4047203,23234,19458,-3886,-191,49,-60,-0.968993,2.268627,1.715083
4062829,22862,19654,-3390,4,85,-3,-0.964996,2.270028,1.710660
4078455,22528,19926,-3376,144,41,63,-0.965206,2.269904,1.711247
4094081,22596,20052,-3958,176,-30,85,-0.966711,2.269487,1.713065
4109707,23024,19876,-4398,34,-46,33,-0.970601,2.269054,1.718657
4125334,23360,19612,-4460,-101,12,-41,-0.971496,2.269316,1.720214
4140960,23348,19432,-4060,-133,90,-76,-0.970098,2.270567,1.719405
4156587,22958,19412,-3874,-65,131,-54,-0.968247,2.271274,1.717501
4172213,22460,19506,-3514,33,125,-13,-0.965215,2.272140,1.714650
4187840,22270,19952,-3758,156,13,42,-0.965152,2.272316,1.715361
4203466,22630,19996,-4102,111,-34,22,-0.966332,2.272455,1.717704
4219093,22988,20056,-4154,68,-16,-24,-0.968744,2.273150,1.722260
4234718,23224,20164,-4172,27,19,-35,-0.968985,2.273871,1.723763
4250344,23194,19994,-4038,-49,52,-16,-0.968614,2.275069,1.724864
4265971,23028,19700,-3978,-106,90,-19,-0.967788,2.275376,1.724121
4281596,22726,19602,-3730,-71,112,-41,-0.965241,2.275936,1.720926
4297222,22462,19922,-3552,42,63,-19,-0.963580,2.276489,1.719435
4312848,22450,20410,-3474,180,-80,107,-0.963585,2.277012,1.720578
4328474,22890,20516,-4048,216,-156,163,-0.969355,2.275898,1.727876
