gravity_test
Module: E0:5A:1B:76:51:80 (05)
t(us),ax,ay,az,gx,gy,gz,y,p,r
4405652,32767,19416,6218,-24,-45,-9,-0.622460,1.015925,1.285081
4421278,32767,19376,6278,-23,-44,-8,-0.621727,1.016003,1.285307
4436904,32767,19402,6298,-25,-45,-10,-0.621320,1.016052,1.285328
4452531,32767,19434,6238,-25,-45,-9,-0.619960,1.015983,1.285288
4468157,32767,19434,6306,-25,-45,-9,-0.619607,1.015960,1.285418
4483783,32767,19436,6274,-25,-44,-9,-0.618179,1.015963,1.285269
4499410,32767,19448,6228,-25,-44,-10,-0.617822,1.015940,1.285399
4515036,32767,19386,6294,-25,-44,-9,-0.616384,1.015943,1.285250
4530661,32767,19374,6332,-25,-44,-9,-0.615408,1.015943,1.285497
4546287,32767,19444,6242,-24,-44,-9,-0.615408,1.015943,1.285497
4561913,32767,19400,6314,-25,-46,-10,-0.613590,1.015923,1.285478
4577539,32767,19438,6280,-24,-44,-10,-0.613222,1.015899,1.285608
4593166,32767,19406,6238,-25,-44,-9,-0.611757,1.015903,1.285459
4608793,32767,19454,6264,-24,-45,-10,-0.611384,1.015879,1.285589
4624420,32767,19422,6258,-24,-44,-8,-0.610320,1.015950,1.285727
4640046,32767,19472,6280,-25,-45,-10,-0.609121,1.015961,1.285666
4655673,32767,19390,6298,-25,-45,-10,-0.608679,1.016009,1.285687
4671299,32767,19460,6290,-25,-43,-10,-0.607251,1.015940,1.285647
4686925,32767,19384,6286,-24,-44,-9,-0.606534,1.015906,1.285627
4702552,32767,19406,6270,-24,-45,-10,-0.605364,1.015920,1.285627
4718179,32767,19434,6184,-25,-45,-9,-0.604643,1.015886,1.285607
4733806,32767,19420,6148,-25,-44,-10,-0.603797,1.015910,1.285758
4749432,32767,19410,6280,-25,-45,-10,-0.603151,1.015933,1.285875
4765059,32767,19424,6246,-25,-45,-10,-0.601960,1.015947,1.285876
4780685,32767,19430,6300,-25,-44,-10,-0.601960,1.015947,1.285876
