ax,ay,az,gx,gy,gz
21620,21612,-4076,0,-27,-7
21458,21722,-4090,-44,-13,-30
21228,21360,-3872,-73,-3,-21
21216,21230,-3798,-38,-14,-10
21320,21404,-3966,3,-21,18
21324,21810,-4464,20,-3,38
21446,22136,-4480,-38,55,14
21624,21738,-4060,-127,84,-3
21212,21106,-3628,-144,78,3
20642,20990,-3188,-44,-83,18
20600,21168,-3342,-24,-187,20
20988,21390,-3588,-38,-278,2
21280,21356,-3790,-53,-313,16
21442,21424,-3782,-36,-314,16
21504,21782,-3980,-12,-276,32
21432,22056,-3916,5,-217,75
21546,22318,-3750,5,-221,109
21350,22264,-3418,-39,-226,135
21172,21616,-3492,-74,-235,172
21428,21010,-3762,-52,-220,147
21870,20904,-4104,-21,-166,79
22060,21298,-3930,-3,-115,40
21576,21624,-3364,-90,-84,21
21038,21302,-2916,-122,-111,46
20936,21034,-3278,-56,-170,30
21426,21552,-3288,14,-199,-50
21800,22190,-3386,27,-220,-31
21896,22320,-3526,-14,-203,35
21842,22090,-3456,-73,-175,83
21636,21566,-3150,-91,-189,124
21046,21444,-2892,-43,-184,78
21420,21680,-2780,-38,-234,19
21772,21622,-2664,-46,-278,26
21538,21536,-2112,-54,-369,69
21070,21334,-1948,-19,-515,134
21102,21180,-2842,34,-606,137
21252,21910,-2724,56,-594,24
22146,22144,-2352,-29,-615,-81
22248,21564,-1384,-132,-718,-88
21692,21094,-1104,-57,-857,-16
21582,21582,-2368,106,-945,77
22048,23090,-2670,109,-849,73
23240,23362,-2702,-103,-763,-2
