ax,ay,az,gx,gy,gz
32767,30314,1910,-760,-27,-10
32767,29042,1648,-665,-20,25
32767,29482,1736,-550,10,-6
32767,29866,1980,-570,44,-27
32767,29806,2464,-672,41,-24
32767,29250,2736,-750,18,-4
32767,28666,2440,-737,8,-15
32767,28080,2580,-638,16,-1
32767,28294,2864,-492,33,25
32767,28598,3054,-446,34,3
32767,28878,3094,-485,32,-4
32767,28848,3142,-594,32,3
32767,27958,3190,-647,13,4
32767,27346,3318,-544,13,14
32767,27554,3410,-395,14,-4
32767,27564,3512,-345,8,-7
32767,27052,3518,-249,-8,19
32767,27076,3760,-94,-20,24
32767,28270,3572,-40,-10,-14
32767,29786,3310,-307,9,-56
32767,29138,3288,-721,32,-74
32767,26828,3612,-852,62,-59
32767,25906,4066,-557,45,7
32767,26234,4212,-197,17,62
32767,27716,4038,-93,1,27
32767,28922,3614,-333,14,-33
32767,28286,3676,-709,36,-34
32767,26528,4146,-825,39,5
32767,25764,4332,-688,41,5
32767,26248,4194,-494,40,-26
32767,26674,3934,-519,68,-47
32767,26744,4326,-619,107,-59
32767,26504,4500,-713,105,-77
32767,26384,4738,-782,108,-91
32767,26178,4742,-846,104,-85
32767,25688,4702,-900,111,-79
32767,25054,4928,-877,109,-61
32767,24524,5132,-666,71,-20
32767,24912,5146,-570,61,-39
32767,25340,5132,-598,62,-65
32767,25478,5054,-745,70,-69
